C:\GCMS2 DATA\ILYA\Danica project\Danica SIM Sample 15.D Thu Nov 27 09:45:46 2025
Start of data points
9.09720,3157
9.10208,3066
9.10697,2978
9.11185,2918
9.11672,2910
9.12160,2968
9.12648,3089
9.13135,3245
9.13623,3420
9.14112,3612
9.14600,3787
9.15087,3906
9.15575,3973
9.16063,3983
9.16550,3924
9.17038,3817
9.17527,3672
9.18015,3489
9.18502,3309
9.18990,3163
9.19478,3033
9.19965,2924
9.20453,2873
9.20942,2878
9.21430,2908
9.21917,2987
9.22405,3162
9.22893,3461
9.23380,3886
9.23868,4375
9.24357,4817
9.24845,5120
9.25332,5210
9.25820,5061
9.26308,4742
9.26795,4365
9.27283,4022
9.27772,3747
9.28260,3522
9.28747,3313
9.29235,3106
9.29723,2927
9.30210,2804
9.30698,2732
9.31187,2697
9.31675,2706
9.32162,2758
9.32650,2825
9.33138,2881
9.33625,2927
9.34113,2979
9.34602,3047
9.35088,3123
9.35577,3193
9.36065,3267
9.36553,3379
9.37040,3558
9.37528,3799
9.38017,4050
9.38503,4236
9.38992,4295
9.39480,4194
9.39968,3941
9.40455,3594
9.40943,3244
9.41432,2982
9.41918,2840
9.42407,2776
9.42895,2753
9.43383,2761
9.43870,2777
9.44358,2774
9.44847,2753
9.45333,2729
9.45822,2727
9.46310,2780
9.46798,2933
9.47285,3236
9.47773,3727
9.48262,4377
9.48748,5032
9.49237,5485
9.49725,5601
9.50213,5353
9.50700,4836
9.51188,4218
9.51677,3643
9.52163,3216
9.52652,3047
9.53140,3305
9.53628,4293
9.54115,6512
9.54603,10769
9.55092,18126
9.55578,29629
9.56067,46268
9.56555,69013
9.57043,98506
9.57530,135231
9.58018,180579
9.58507,236734
9.58993,304629
9.59482,382195
9.59970,463556
9.60458,537113
9.60945,582178
9.61433,570901
9.61922,485785
9.62408,344592
9.62897,198319
9.63385,92499
9.63873,36610
9.64360,13942
9.64848,6375
9.65337,4176
9.65823,3646
9.66312,3599
9.66800,3672
9.67288,3765
9.67775,3850
9.68263,3928
9.68752,4028
9.69238,4139
9.69727,4217
9.70215,4235
9.70703,4177
9.71190,4027
9.71678,3798
9.72167,3543
9.72653,3320
9.73142,3144
9.73630,3009
9.74117,2916
9.74605,2860
9.75093,2832
9.75582,2822
9.76068,2812
9.76557,2792
9.77045,2780
9.77532,2786
9.78020,2806
9.78508,2823
9.78997,2838
9.79483,2860
9.79972,2880
9.80460,2875
9.80947,2853
9.81435,2833
9.81923,2817
9.82412,2801
9.82898,2797
9.83387,2803
9.83875,2806
9.84362,2803
9.84850,2793
9.85338,2770
9.85827,2742
9.86313,2715
9.86802,2679
9.87290,2634
9.87777,2604
9.88265,2615
9.88753,2689
9.89242,2864
9.89728,3181
9.90217,3639
9.90705,4209
9.91192,4841
9.91680,5450
9.92168,5976
9.92657,6470
9.93143,7006
9.93632,7612
9.94120,8244
9.94607,8736
9.95095,8813
9.95583,8308
9.96072,7306
9.96558,6077
9.97047,4900
9.97535,3988
9.98022,3457
9.98510,3319
9.98998,3534
9.99487,4023
9.99973,4619
10.00462,5103
10.00950,5337
10.01437,5313
10.01925,5118
10.02413,4900
10.02902,4873
10.03388,5286
10.03877,6335
10.04365,8167
10.04852,10988
10.05340,15034
10.05828,20437
10.06317,27327
10.06803,35908
10.07292,46213
10.07780,57806
10.08267,69554
10.08755,79468
10.09243,85015
10.09730,84168
10.10218,76622
10.10707,64055
10.11195,49255
10.11682,35037
10.12170,23425
10.12658,15239
10.13145,10214
10.13633,7450
10.14122,5962
10.14610,5078
10.15097,4461
10.15585,3969
10.16073,3561
10.16560,3254
10.17048,3059
10.17537,2946
10.18025,2893
10.18512,2883
10.19000,2887
10.19488,2885
10.19975,2894
10.20463,2924
10.20952,2957
10.21440,2986
10.21927,3035
10.22415,3105
10.22903,3179
10.23390,3255
10.23878,3313
10.24367,3330
10.24855,3332
10.25342,3347
10.25830,3374
10.26318,3414
10.26805,3490
10.27293,3621
10.27782,3814
10.28270,4095
10.28757,4490
10.29245,4965
10.29733,5484
10.30220,6031
10.30708,6531
10.31197,6894
10.31685,7069
10.32172,7040
10.32660,6849
10.33148,6565
10.33635,6221
10.34123,5881
10.34612,5635
10.35100,5478
10.35587,5345
10.36075,5227
10.36563,5134
10.37050,5053
10.37538,4988
10.38027,4960
10.38515,4986
10.39002,5118
10.39490,5387
