C:\GCMS2 DATA\ILYA\Danica project\Danica SIM Sample 16.D Thu Nov 27 10:44:24 2025
Start of data points
9.09717	3320
9.10203	3282
9.10692	3239
9.11180	3212
9.11667	3217
9.12155	3262
9.12643	3344
9.13132	3450
9.13618	3588
9.14107	3759
9.14595	3920
9.15082	4010
9.15570	4006
9.16058	3941
9.16547	3834
9.17033	3671
9.17522	3475
9.18010	3294
9.18497	3145
9.18985	3030
9.19473	2942
9.19962	2869
9.20448	2813
9.20937	2798
9.21425	2852
9.21912	2995
9.22400	3240
9.22888	3582
9.23377	4001
9.23863	4448
9.24352	4817
9.24840	4989
9.25327	4917
9.25815	4660
9.26303	4346
9.26792	4067
9.27278	3823
9.27767	3596
9.28255	3390
9.28742	3204
9.29230	3035
9.29718	2901
9.30205	2813
9.30693	2753
9.31182	2716
9.31670	2714
9.32157	2753
9.32645	2822
9.33133	2894
9.33620	2960
9.34108	3029
9.34597	3102
9.35085	3163
9.35572	3215
9.36060	3294
9.36548	3444
9.37035	3660
9.37523	3887
9.38012	4059
9.38500	4129
9.38987	4067
9.39475	3872
9.39963	3576
9.40450	3247
9.40938	2967
9.41427	2791
9.41915	2720
9.42402	2715
9.42890	2735
9.43378	2760
9.43865	2769
9.44353	2748
9.44842	2721
9.45330	2717
9.45817	2756
9.46305	2874
9.46793	3124
9.47280	3550
9.47768	4140
9.48257	4791
9.48745	5322
9.49232	5577
9.49720	5492
9.50208	5094
9.50695	4493
9.51183	3858
9.51672	3345
9.52160	3052
9.52647	3090
9.53135	3657
9.53623	5116
9.54110	8080
9.54598	13345
9.55087	21745
9.55575	33923
9.56062	50091
9.56550	70317
9.57038	95203
9.57525	126025
9.58013	164504
9.58502	212262
9.58990	268635
9.59477	327299
9.59965	374589
9.60453	392311
9.60940	366030
9.61428	296296
9.61917	203720
9.62405	117995
9.62892	58339
9.63380	25765
9.63868	11247
9.64355	5784
9.64843	4021
9.65332	3542
9.65820	3451
9.66307	3482
9.66795	3542
9.67283	3584
9.67770	3611
9.68258	3640
9.68747	3677
9.69233	3742
9.69722	3830
9.70210	3880
9.70698	3849
9.71185	3758
9.71673	3628
9.72162	3471
9.72648	3317
9.73137	3177
9.73625	3047
9.74113	2939
9.74600	2851
